,cum_rewards_model,cum_rewards_error,cum_rewards_real,policy_loss_list_error,policy_loss_list_model,critic_loss_list_error,critic_loss_list_model,last_states_model,last_states_error,last_states_real,last_errors,model
331,-36.51366688599566,-1.1146689937093266,-37.35611048630513,2.5809846,11.518264,0.103177026,0.7821168,3.8554513628894425,0.12340445243723064,3.978855815326673,-0.02317161505046883,training_run_2
332,-33.57723490005364,-1.1711076555980502,-33.75749274546664,2.5640264,11.467056,0.07392459,0.32323098,3.917333461979511,0.0877092396459993,4.00504270162551,-0.02591395941938135,training_run_2
333,-18.712646363299218,-0.8161266107965996,-19.460420498095196,2.6105125,11.040955,0.13229054,0.091028,3.6907072238352607,0.29814211136668023,3.988849335201941,0.006663711941484518,training_run_2
334,-35.55005796029515,-6.340164425963981,-41.66405879070343,2.5837107,11.099299,0.5276555,0.72249883,3.8504146183566066,0.16768793728194353,4.01810255563855,0.0014882053569866827,training_run_2
335,-15.990077983535025,-27.50338293831011,-12.907471588178058,2.608408,9.612689,0.06428368,0.84456044,1.8913150385170798,0.2579435719616292,2.149258610478709,0.14304117999253796,training_run_2
336,-27.528354618545034,-7.5900094489163825,-34.462366494220035,2.5563974,10.326181,0.06594697,0.192581,-0.034627822624176616,0.46123048406654676,0.42660266144237013,0.2190788875479619,training_run_2
337,-6.960819500641787,-13.694152288805212,-20.097759014546604,2.5726354,10.60359,0.10344638,0.09942347,3.0025896469231044,0.8623415065088711,3.8649311534319755,-0.12239280589345558,training_run_2
338,-29.146405135431074,-9.392324826398267,-37.879658338027355,2.6507719,9.664129,0.04465323,0.20319289,-0.15021148663052936,0.6507785166417996,0.5005670300112702,0.2594583102152481,training_run_2
339,-20.066987124527067,-12.732087015024643,-31.162396761331948,2.5765924,10.104371,0.079059,0.09322639,0.697245824313682,-0.10640844602906141,0.5908373782846206,0.08647870006836156,training_run_2
340,-28.22122965584935,-12.877661698595324,-39.7372510894092,2.4555547,10.347366,0.063923225,0.054060027,0.6657974077094952,-0.017746606270064302,0.648050801439431,0.07227850175014572,training_run_2
341,-4.701029964684809,-14.091713586100157,-9.450393757158947,2.7156327,9.803285,0.03268372,1.1264868,1.571473139577354,0.10534990793692112,1.6768230475142751,0.06487427411616276,training_run_2
342,-20.100466815500997,-34.839587821245345,-16.499823052936595,2.8359926,9.247638,0.057157584,0.3424681,2.089252598715669,0.34104575949005156,2.4302983582057207,0.17145051064800398,training_run_2
343,-15.710987857991247,-30.319394589117806,-14.608406731126573,2.9532056,9.43164,0.091938764,0.14567302,2.0223370155306304,0.2463773051144007,2.268714320645031,0.12305593507205792,training_run_2
344,-7.752048448454717,-39.16223968985257,-40.806485214345805,2.839271,8.366889,0.1183467,0.16555017,2.3523464859264416,0.381548395011281,2.7338948809377226,0.1305682877604064,training_run_2
345,-17.49374771693272,-8.406304901593515,-25.341929286583753,2.8693771,8.653954,0.045848116,1.0159477,-0.11157925604121299,0.6863682826131433,0.5747890265719303,0.2187650711616984,training_run_2
346,-25.261122624867326,-2.494035836636174,-27.397693072401395,2.9719822,8.639952,0.03550275,1.1252916,3.628256980202317,0.1919668331233204,3.8202238133256374,-0.08746006129049233,training_run_2
347,-28.94895775230495,-11.151382508908027,-39.00486829346344,2.7174551,9.2425375,0.0698115,0.29590532,-0.050942058852959854,0.648327427383881,0.5973853685309212,0.26147965624114566,training_run_2
348,-10.129846070408526,-3.806025919354964,-13.294906956504484,2.9938312,8.526155,0.025171379,0.10501981,3.3544618551600918,0.5041356326857023,3.858597487845794,-0.17811673384935212,training_run_2
